JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,sample_size,REG_HR_mode,REG RT_mean,REG RT_median,REG_RT_mode,OT HR_mean,OT HR_median,OT_HR_mode,OT RT_mean,OT RT_median,totalpay_mean,totalpay_median
FIRST AID,GRAVEYARD,NEPTUNE,SHIP (FA),6.5,6.5,2,6.5,89.23,89.23,88.98,1.0,1.0,0.5,133.22,133.22,713.215,713.215
FIRST AID,GRAVEYARD,PORT MOODY,DOCK (FA),6.5,6.5,1,6.5,88.98,88.98,88.98,0.5,0.5,0.5,133.22,133.22,644.98,644.98
FIRST AID,GRAVEYARD,PORT MOODY,SHIP (FA),6.5,6.5,3,6.5,86.55,86.55,86.55,0.6666666666666666,0.5,0.5,129.575,129.575,648.9583333333334,627.3625
FIRST AID,GRAVEYARD,PORT MOODY,STORES (FA),6.5,6.5,1,6.5,87.05,87.05,87.05,1.0,1.0,1.0,130.075,130.075,695.9,695.9
FIRST AID,GRAVEYARD,VAN WHARVES,DOCK (FA),6.5,6.5,3,6.5,86.55,86.55,86.55,0.8333333333333334,0.5,0.5,129.575,129.575,670.5541666666667,627.3625
FIRST AID,GRAVEYARD,VAN WHARVES,SHIP (FA),6.5,6.5,2,6.5,88.24000000000001,88.24000000000001,87.0,1.5,1.5,1.5,131.64749999999998,131.64749999999998,771.03125,771.03125
FIRST AID,GRAVEYARD,VAN WHARVES,STORES (FA),6.5,6.5,1,6.5,86.07,86.07,86.07,0.5,0.5,0.5,128.605,128.605,623.7575,623.7575
FIRST AID,NIGHT,CENTENNIAL,DOCK (FA),8.0,8.0,6,8.0,76.44,70.17,70.17,1.0,1.0,1.0,114.41000000000001,105.005,725.93,666.365
FIRST AID,NIGHT,CENTENNIAL,SHIP (FA),8.0,8.0,2,8.0,70.17,70.17,70.17,1.0,1.0,1.0,105.005,105.005,666.365,666.365
FIRST AID,NIGHT,DELTAPORT,DOCK (FA),8.0,8.0,1,8.0,70.17,70.17,70.17,0.5,0.5,0.5,105.005,105.005,667.0325,667.0325
FIRST AID,NIGHT,DELTAPORT,SHIP (FA),8.0,8.0,1,8.0,88.98,88.98,88.98,1.0,1.0,1.0,133.22,133.22,924.815,924.815
FIRST AID,NIGHT,FRASER SURREY,DOCK (FA),8.5,8.5,2,8.0,79.575,79.575,70.17,0.5,0.5,0.5,119.1125,119.1125,810.99625,810.99625
FIRST AID,NIGHT,FRASER SURREY,SHIP (FA),8.5,8.5,4,8.0,70.17,70.17,70.17,0.5,0.5,0.5,105.005,105.005,689.15875,689.15875
FIRST AID,NIGHT,LYNNTERM,DOCK (FA),8.0,8.0,1,8.0,70.17,70.17,70.17,0.5,0.5,0.5,105.005,105.005,613.8625,613.8625
FIRST AID,NIGHT,NEPTUNE,DOCK (FA),8.0,8.0,1,8.0,88.98,88.98,88.98,0.5,0.5,0.5,133.22,133.22,778.45,778.45
FIRST AID,NIGHT,NEPTUNE,STORES (FA),8.0,8.0,2,8.0,80.075,80.075,70.67,0.5,0.5,0.5,119.6125,119.6125,700.40625,700.40625
FIRST AID,NIGHT,PORT MOODY,DOCK (FA),8.0,8.0,8,8.0,74.81,70.17,70.17,0.9375,1.0,1.0,112.05875,105.005,702.2125,666.365
FIRST AID,NIGHT,PORT MOODY,STORES (FA),8.0,8.0,10,8.0,76.313,70.67,70.67,1.1,1.0,1.0,113.9695,105.505,735.024,670.865
FIRST AID,NIGHT,VAN WHARVES,DOCK (FA),8.0,8.0,1,8.0,111.0,111.0,111.0,0.5,0.5,0.5,111.0,111.0,943.5,943.5
FIRST AID,NIGHT,VAN WHARVES,SHIP (FA),8.0,8.0,1,8.0,88.98,88.98,88.98,0.5,0.5,0.5,133.22,133.22,778.45,778.45
FIRST AID,NIGHT,VAN WHARVES,STORES (FA),7.75,7.75,2,7.5,78.08000000000001,78.08000000000001,67.18,0.75,0.75,0.5,117.195,117.195,699.8725,699.8725
