DAYOFWEEK,DNG,SHIFT,eff_start,eff_end,JOBS,LOCATION,SUBJOB,REGHRS,OTHRS,REGRATE,OTRATE,DIFFERENTIAL,DIFFERENTIAL_CLASS,YEAR,SAMPLE_SIZE,CONFIDENCE
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,74.26,111.39,0.65,CLASS_3,4,1576,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,92.67,139.0,0.65,CLASS_3,4,1576,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,51.29,76.94,0.65,CLASS_3,1,1508,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,65.47,98.2,0.65,CLASS_3,1,1508,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,81.67,122.5,0.65,CLASS_3,1,1508,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,53.82,80.73,0.65,CLASS_3,2,1508,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,68.71,103.06,0.65,CLASS_3,2,1508,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,85.72,128.58,0.65,CLASS_3,2,1508,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,55.95,83.93,0.65,CLASS_3,3,1508,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,71.43,107.15,0.65,CLASS_3,3,1508,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,89.13,133.69,0.65,CLASS_3,3,1508,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,58.16,87.24,0.65,CLASS_3,4,1508,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,74.26,111.39,0.65,CLASS_3,4,1508,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),8.0,0.0,92.67,139.0,0.65,CLASS_3,4,1508,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,79.45,119.18,0.65,CLASS_3,1,1423,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,81.67,122.5,0.65,CLASS_3,1,1423,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,81.67,122.5,0.65,CLASS_3,1,1423,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,83.38,125.07,0.65,CLASS_3,2,1423,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,85.72,128.58,0.65,CLASS_3,2,1423,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,85.72,128.58,0.65,CLASS_3,2,1423,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,86.7,130.05,0.65,CLASS_3,3,1423,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,89.13,133.69,0.65,CLASS_3,3,1423,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,89.13,133.69,0.65,CLASS_3,3,1423,HIGH
"1 , 2 , 3 , 4 , 5",GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,90.14,135.21,0.65,CLASS_3,4,1423,HIGH
6,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,92.67,139.0,0.65,CLASS_3,4,1423,HIGH
0,GRAVEYARD,GRAVEYARD,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,VANTERM,SHIP (TT),6.5,0.0,92.67,139.0,0.65,CLASS_3,4,1423,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,50.64,75.96,0.0,BASE,1,1401,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,64.82,97.23,0.0,BASE,1,1401,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,81.02,121.53,0.0,BASE,1,1401,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,53.17,79.75,0.0,BASE,2,1401,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,68.06,102.09,0.0,BASE,2,1401,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,85.07,127.6,0.0,BASE,2,1401,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,55.3,82.95,0.0,BASE,3,1401,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,70.78,106.17,0.0,BASE,3,1401,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,88.48,132.72,0.0,BASE,3,1401,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,57.51,86.27,0.0,BASE,4,1401,HIGH
6,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,73.61,110.41,0.0,BASE,4,1401,HIGH
0,DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",LABOUR,LYNNTERM,BLANK,8.0,1.0,92.02,138.03,0.0,BASE,4,1401,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,64.45,96.68,0.65,CLASS_3,1,1368,HIGH
6,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,81.67,122.5,0.65,CLASS_3,1,1368,HIGH
0,NIGHT,NIGHT,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,81.67,122.5,0.65,CLASS_3,1,1368,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,67.63,101.44,0.65,CLASS_3,2,1368,HIGH
6,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,85.72,128.58,0.65,CLASS_3,2,1368,HIGH
0,NIGHT,NIGHT,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,85.72,128.58,0.65,CLASS_3,2,1368,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,70.32,105.48,0.65,CLASS_3,3,1368,HIGH
6,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,89.13,133.69,0.65,CLASS_3,3,1368,HIGH
0,NIGHT,NIGHT,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,89.13,133.69,0.65,CLASS_3,3,1368,HIGH
"1 , 2 , 3 , 4 , 5",NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,73.1,109.65,0.65,CLASS_3,4,1368,HIGH
6,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,92.67,139.0,0.65,CLASS_3,4,1368,HIGH
0,NIGHT,NIGHT,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",TRACTOR TRAILER,CENTENNIAL,SHIP (TT),9.0,0.0,92.67,139.0,0.65,CLASS_3,4,1368,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,51.64,77.46,1.0,CLASS_2,1,1274,HIGH
6,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,65.82,98.73,1.0,CLASS_2,1,1274,HIGH
0,DAY,DAY,"Apr 1, 2023 12:00 am","Apr 1, 2024 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,82.02,123.03,1.0,CLASS_2,1,1274,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,54.17,81.25,1.0,CLASS_2,2,1274,HIGH
6,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,69.06,103.59,1.0,CLASS_2,2,1274,HIGH
0,DAY,DAY,"Apr 1, 2024 12:00 am","Apr 1, 2025 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,86.07,129.1,1.0,CLASS_2,2,1274,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,56.3,84.45,1.0,CLASS_2,3,1274,HIGH
6,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,71.78,107.67,1.0,CLASS_2,3,1274,HIGH
0,DAY,DAY,"Apr 1, 2025 12:00 am","Apr 1, 2026 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,89.48,134.22,1.0,CLASS_2,3,1274,HIGH
"1 , 2 , 3 , 4 , 5",DAY,DAY,"Apr 1, 2026 12:00 am","Apr 1, 2027 12:00 am",RUBBER TIRE GANTRY,CENTENNIAL,,8.0,1.0,58.51,87.77,1.0,CLASS_2,4,1274,HIGH
