JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,REG_RATE,SAMPLE_SIZE,CONFIDENCE
LABOUR,NIGHT,DELTAPORT,BLANK,4.0,1.0,69.67,5,HIGH
LABOUR,NIGHT,LYNNTERM,,4.0,0.0,66.98,5,HIGH
LABOUR,NIGHT,LYNNTERM,BLANK,8.0,1.0,69.67,24,HIGH
LABOUR,NIGHT,LYNNTERM,HOLD (LAB),8.0,1.0,69.67,10,HIGH
LABOUR,NIGHT,LYNNTERM,SPARE (LAB),8.0,1.0,69.67,6,HIGH
LABOUR,NIGHT,NEPTUNE,,7.5,1.0,66.98,15,HIGH
LABOUR,NIGHT,NEPTUNE,BLANK,7.5,1.0,69.67,89,HIGH
LABOUR,NIGHT,NEPTUNE,SPARE (LAB),7.5,1.0,69.67,6,HIGH
LABOUR,NIGHT,NEPTUNE,UTILITY (LAB),7.5,1.0,69.67,6,HIGH
LABOUR,NIGHT,SQUAMISH,BLANK,8.0,0.5,69.67,5,HIGH
LABOUR,NIGHT,VAN WHARVES,BLANK,8.0,1.0,69.67,95,HIGH
LABOUR,NIGHT,VAN WHARVES,HOLD (LAB),8.0,1.0,69.67,4,HIGH
LABOUR,NIGHT,VAN WHARVES,SPARE (LAB),8.0,0.5,69.67,13,HIGH
LABOUR,NIGHT,VAN WHARVES,UTILITY (LAB),8.0,0.5,69.67,3,HIGH
LABOUR,NIGHT,VANTERM,,4.0,,66.98,4,HIGH
LABOUR,NIGHT,VANTERM,BLANK,8.0,1.0,69.67,10,HIGH
LABOUR,NIGHT,VANTERM,LASHING (LAB),8.0,1.0,69.67,8,HIGH
LIFT TRUCK,DAY,CANADA PLACE,,7.0,2.0,55.8,139,HIGH
LIFT TRUCK,DAY,CENTENNIAL,,9.0,,53.17,4,HIGH
LIFT TRUCK,DAY,FRASER SURREY,,9.0,,55.8,6,HIGH
LIFT TRUCK,DAY,LYNNTERM,,4.0,1.0,55.8,10,HIGH
LIFT TRUCK,DAY,NEPTUNE,,9.0,0.0,55.8,4,HIGH
LIFT TRUCK,DAY,SQUAMISH,,11.0,,53.67,3,HIGH
LIFT TRUCK,GRAVEYARD,CENTENNIAL,,7.5,,85.07,3,HIGH
LIFT TRUCK,NIGHT,CENTENNIAL,,9.0,,70.17,10,HIGH
LIFT TRUCK,NIGHT,LYNNTERM,,4.0,,70.17,5,HIGH
LINES,DAY,ALLIANCE GRAIN,,4.0,,55.3,3,HIGH
LINES,DAY,CENTENNIAL,,4.0,,55.3,3,HIGH
LINES,DAY,FIBRECO,,4.0,,55.3,4,HIGH
LINES,DAY,LYNNTERM,,4.0,2.0,55.3,5,HIGH
LINES,DAY,NEPTUNE,,4.0,1.66,55.3,11,HIGH
LINES,DAY,PORT MOODY,,4.0,,55.3,5,HIGH
LINES,DAY,VAN WHARVES,,4.0,0.2,55.3,9,HIGH
LINES,DAY,VANTERM,,4.0,0.0,55.3,6,HIGH
LINES,DAY,VITERRA PAC,,4.0,,70.78,4,HIGH
LINES,GRAVEYARD,ALLIANCE GRAIN,,4.0,,86.05,4,HIGH
LINES,GRAVEYARD,CENTENNIAL,,4.0,,88.48,9,HIGH
LINES,GRAVEYARD,LYNNTERM,,4.0,3.5,86.05,5,HIGH
LINES,GRAVEYARD,NEPTUNE,,4.0,,86.05,10,HIGH
LINES,GRAVEYARD,PORT MOODY,,4.0,,86.05,10,HIGH
LINES,GRAVEYARD,VAN WHARVES,,4.0,0.0,86.05,16,HIGH
LINES,GRAVEYARD,VANTERM,,4.0,,86.05,10,HIGH
LINES,NIGHT,CANADA PLACE,,4.0,,69.67,7,HIGH
LINES,NIGHT,CENTENNIAL,,4.0,0.5,69.67,7,HIGH
LINES,NIGHT,FIBRECO,,4.0,,69.67,3,HIGH
LINES,NIGHT,G3,,4.0,0.5,69.67,6,HIGH
LINES,NIGHT,LYNNTERM,,4.0,,69.67,3,HIGH
LINES,NIGHT,NEPTUNE,,4.0,,69.67,12,HIGH
LINES,NIGHT,PORT MOODY,,4.0,,69.67,11,HIGH
LINES,NIGHT,VAN WHARVES,,4.0,,69.67,9,HIGH
LINES,NIGHT,VANTERM,,4.0,,88.48,5,HIGH
LINES,NIGHT,VITERRA PAC,,4.0,,69.67,4,HIGH
LIQUID BULK,DAY,PORT MOODY,,7.5,0.5,56.3,39,HIGH
LIQUID BULK,DAY,UNIVAR,,4.0,1.0,56.3,8,HIGH
LIQUID BULK,DAY,VAN WHARVES,,4.0,,56.3,3,HIGH
LIQUID BULK,GRAVEYARD,PORT MOODY,,6.0,0.5,87.05,8,HIGH
LIQUID BULK,NIGHT,PORT MOODY,,7.5,0.5,70.67,14,HIGH
LOCI,DAY,NEPTUNE,,7.5,0.5,56.3,158,HIGH
LOCI,GRAVEYARD,NEPTUNE,,6.0,0.5,6.0,3,HIGH
LOCI,NIGHT,NEPTUNE,,7.5,0.5,70.67,62,HIGH
LOCI,NIGHT,VAN WHARVES,,0.0,9.0,70.67,11,HIGH
LOCKERMAN,DAY,LYNNTERM,,9.0,9.0,55.95,74,HIGH
LOCKERMAN,DAY,VITERRA PAC,,9.0,,55.95,13,HIGH
MOBILE CRANE,DAY,CANADA PLACE,,7.0,2.0,55.3,44,HIGH
OB,DAY,WATERFRONT TRAIN. CNTR,,4.0,,110.6,12,HIGH
PAINTER,DAY,CENTENNIAL,,5.0,1.0,57.8,3,HIGH
PLUMBER,DAY,NEPTUNE,,7.5,1.5,57.95,8,HIGH
PLUMBER,DAY,VAN WHARVES,,4.0,4.0,55.67,5,HIGH
RAIL MOUNTED GANTRY,DAY,CENTENNIAL,,9.0,0.0,56.3,82,HIGH
RAIL MOUNTED GANTRY,GRAVEYARD,CENTENNIAL,,7.5,0.0,87.05,224,HIGH
RAIL MOUNTED GANTRY,NIGHT,CENTENNIAL,,9.0,0.0,70.67,7,HIGH
REACHSTACKER,DAY,CENTENNIAL,,9.0,0.0,53.17,42,HIGH
REACHSTACKER,GRAVEYARD,CENTENNIAL,,7.5,0.0,87.05,21,HIGH
REACHSTACKER,NIGHT,CENTENNIAL,,9.0,,66.98,4,HIGH
RUBBER TIRE GANTRY,DAY,CENTENNIAL,,4.0,1.0,56.3,44,HIGH
RUBBER TIRE GANTRY,DAY,VANTERM,,9.0,0.0,56.3,21,HIGH
RUBBER TIRE GANTRY,GRAVEYARD,CENTENNIAL,,7.5,,89.48,6,HIGH
RUBBER TIRE GANTRY,GRAVEYARD,VANTERM,,7.5,,89.48,5,HIGH
RUBBER TIRE GANTRY,NIGHT,CENTENNIAL,,4.0,0.0,70.67,5,HIGH
RUBBER TIRE GANTRY,NIGHT,VANTERM,,6.5,0.0,70.67,5,HIGH
STORESPERSON,DAY,CANADA PLACE,,7.0,2.0,56.3,4,HIGH
