JOB,DNG,LOCATION,SUBJOB_COMBINED,REG HR_mean,REG HR_median,REG HR_std,sample_size,REG RT_mean,REG RT_median,REG RT_std,OT HR_mean,OT HR_median,OT HR_std,OT RT_mean,OT RT_median,OT RT_std,totalpay_mean,totalpay_median,totalpay_std,confidence_mean,confidence_max
STORESPERSON,DAY,NEPTUNE,,7.891025641025641,8.0,0.3306331151751825,234,60.14730769230769,56.3,10.190796656650244,1.0759803921568627,1.0,0.2632901331134902,89.75525641025641,83.95,15.272160797592914,559.7294658119657,534.35,108.34095807595769,0.6724358974358974,0.9
LABOUR,NIGHT,CENTENNIAL,LASHING (LAB),7.969957081545064,8.0,0.3759453576560961,233,76.70133047210301,69.67,10.559521460787636,0.21621621621621623,0.0,0.41734179538380073,115.0519957081545,104.505,15.839282191181455,614.8635193133048,557.36,89.07162250107964,0.6083690987124464,0.85
ELECTRICIAN,DAY,CENTENNIAL,,8.002164502164502,8.0,0.03289758474798842,231,62.14134199134199,57.8,13.173731253815324,1.2272727272727273,1.5,0.3437087014248604,91.79231601731603,85.45,19.071082501130245,596.3387554112554,590.575,134.15468751206782,0.61991341991342,0.75
LABOUR,NIGHT,NEPTUNE,BLANK,7.896929824561403,8.0,0.2640572197801657,228,74.99605263157896,69.67,9.789937800976949,1.1777777777777778,1.0,0.572355232229229,112.49309210526316,104.505,14.685438305210674,643.9784868421052,627.03,103.13733728050477,0.7182017543859649,1.0
(deleted option),DAY,NEPTUNE,,7.947368421052632,8.0,0.3919252212941683,228,62.0769603524229,55.3,14.015217014955466,1.1488095238095237,1.0,1.3370975622565997,92.40074561403509,82.95,18.75329802545351,533.3920614035088,448.20000000000005,151.57860968673808,0.5787280701754386,0.9
LOCI,DAY,NEPTUNE,,7.713656387665198,7.5,0.7682518519058742,227,65.3504845814978,56.3,14.531243612113318,0.9252873563218391,0.5,0.9869926753661835,97.78112334801762,83.95,22.923137980474806,577.3908259911894,534.35,187.2558118731179,0.7870044052863436,0.9
LIQUID BULK,DAY,PORT MOODY,,7.877314814814815,8.0,0.42040314313316524,216,65.76810185185185,56.3,16.22761985467115,0.6669491525423729,0.5,0.7446134249007151,98.5253587962963,83.95,26.204996656810646,536.8375671296296,450.4,141.15550023906133,0.5770833333333334,0.9
40 TON (TOP PICK),GRAVEYARD,VANTERM,,10.569444444444445,6.5,50.55698872091904,216,88.32583333333334,87.05,4.26598686747725,0.421195652173913,0.5,0.3355717489144725,131.44807870370371,130.075,11.01883250002215,986.7635069444445,648.48,4525.539410611211,0.6692129629629631,0.9
HD MECHANIC,DAY,CENTENNIAL,,8.004694835680752,8.0,0.06851887098275326,213,64.95882629107982,57.8,12.413748769874859,0.864406779661017,1.0,0.39038123460242263,96.22345070422536,85.45,18.64312179537105,565.9524061032864,547.85,112.03883511317446,0.5793427230046949,0.75
FRONT END LOADER,NIGHT,VAN WHARVES,,7.938679245283019,8.0,0.5580213443941262,212,73.47462264150944,69.67,8.781310741588529,0.9183673469387755,1.0,0.9543548518515966,108.50424528301886,104.505,18.82341245098085,630.8058608490566,609.6125,101.41336766681395,0.5780660377358491,0.9
LOCI,NIGHT,NEPTUNE,,7.878571428571429,8.0,0.4216257633817363,210,76.46580952380953,70.67,10.079373393312832,0.7228915662650602,0.5,0.3924051232867166,113.16616666666667,105.505,18.69989705075757,636.6033809523809,582.7775,108.17381355869014,0.6302380952380953,0.9
HEAD CHECKER,DAY,VANTERM,TOWER (HC),7.9855072463768115,8.0,0.2869027924678947,207,62.24748792270531,55.95,11.707874516651984,0.95,1.0,0.42360107391564206,93.13079710144928,83.6,17.57138669971341,568.9817149758454,531.2,113.0638532046126,0.717632850241546,1.0
HEAD CHECKER,NIGHT,VANTERM,TOWER (HC),7.973300970873787,8.0,0.567850698944481,206,73.11621359223301,70.32,8.448200283622805,0.7407407407407407,0.5,0.6160942449841205,108.18883495145631,105.155,15.736183335012138,647.582172330097,615.1375,94.80721816251788,0.7111650485436893,1.0
LABOUR,GRAVEYARD,CENTENNIAL,,6.4338235294117645,6.5,0.9227732287831678,204,84.50382352941176,82.73,3.7731288826070846,0.5625,1.0,0.5123475382979799,124.45384803921569,124.095,15.212203853493495,547.9907881773399,537.745,85.53302359970908,0.5416666666666666,0.75
LABOUR,NIGHT,VANTERM,LASHING (LAB),8.0,8.0,0.0,203,73.98812807881774,69.67,10.056899333359977,1.0,1.0,0.0,110.46738916256159,104.505,16.97260166440885,595.7866256157636,557.36,83.83674418364893,0.6059113300492611,0.75
RAIL MOUNTED GANTRY,DAY,CENTENNIAL,,8.298507462686567,8.0,0.7651455816993458,201,64.02985074626865,56.3,14.195389444379884,0.8313253012048193,1.0,0.3767407437623105,94.96557213930349,83.95,21.944805251950168,565.2203731343284,534.35,142.25874276818658,0.6534825870646765,0.9
PAINTER,DAY,CENTENNIAL,,7.95,8.0,0.41029466063149495,200,63.833999999999996,57.8,12.852538376272909,1.0105263157894737,1.0,0.11452564622144434,94.55725000000001,85.45,19.317990806018283,599.931325,547.85,129.1455918190818,0.6455,0.9
DOCK CHECKER,DAY,CANADA PLACE,,7.878172588832487,8.0,0.32791971183211854,197,68.04091370558375,55.8,14.897055769159694,1.112565445026178,1.0,0.3827177256628069,101.81137055837563,83.45,22.345455220924755,644.81461928934,557.5,138.98218744509197,0.6751269035532995,0.9
TRAINING,DAY,VANTERM,,8.0,8.0,0.0,192,60.5365625,55.3,11.192015930227257,0.9090909090909091,0.0,1.044465935734187,91.282734375,82.95,17.070347325060027,488.6128125,442.4,91.40336509212125,0.47578125,0.65
LABOUR,DAY,VANTERM,,7.981481481481482,8.0,0.3276705758901408,189,57.24333333333333,53.17,10.044036073128062,0.7857142857142857,1.0,0.5789342235218394,84.99230158730158,79.755,17.32629010636872,460.5518253968254,425.36,80.16046968575363,0.5132275132275133,0.9
ELECTRICIAN,DAY,VANTERM,,7.962765957446808,8.0,0.4184217974079951,188,58.1511170212766,57.8,5.830833708848458,0.9854368932038835,1.0,0.14779939172464396,86.31,85.45,8.55832224674582,508.8961436170213,505.115,61.97644728715549,0.5813829787234043,0.9
40 TON (TOP PICK),GRAVEYARD,CENTENNIAL,,11.45135135135135,7.5,54.595576453341145,185,88.39291891891892,87.05,4.490890310554648,0.12931034482758622,0.0,0.3304850825757457,130.46694594594592,130.075,15.594198928269886,1017.2461756756758,652.875,4751.257860942133,0.737027027027027,0.9
TRACTOR TRAILER,GRAVEYARD,CENTENNIAL,RAIL (HC),7.469613259668508,7.5,0.4088117804359415,181,83.88005524861879,83.73,8.659243262885013,0.0,0.0,0.0,119.14831491712708,125.1,28.951294714001012,632.9704972375691,627.975,41.73682495412632,0.85,0.85
TRAINING,DAY,WATERFRONT TRAIN. CNTR,,7.847222222222222,8.0,1.2076307917208602,180,55.88783333333333,55.3,7.439167241419573,0.0,0.0,0.0,84.07266666666666,82.95,11.551077453432448,445.6842222222222,442.4,76.82978064763525,0.47944444444444445,0.75
