JOB,SHIFT,LOCATION,SUBJOB,REGHRS,OTHRS,SAMPLE_SIZE
HEAD CHECKER,NIGHT,CENTENNIAL,GOPHER (HC),8.0,1.0,47
HEAD CHECKER,NIGHT,CENTENNIAL,INGATE (HC),8.0,1.0,16
HEAD CHECKER,NIGHT,CENTENNIAL,PENTHOUSE (HC),8.0,2.0,7
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL (HC),9.0,1.0,144
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLANNER (HC),8.0,2.0,25
HEAD CHECKER,NIGHT,CENTENNIAL,RAIL PLNR -GOPHER  (HC),9.0,1.0,3
HEAD CHECKER,NIGHT,CENTENNIAL,TOWER (HC),9.0,1.0,267
HEAD CHECKER,NIGHT,CENTENNIAL,YARD PLANNER (HC),8.0,2.0,52
HEAD CHECKER,NIGHT,VANTERM,CANOPY (HC),8.0,1.5,29
HEAD CHECKER,NIGHT,VANTERM,INGATE (HC),8.0,1.5,26
HEAD CHECKER,NIGHT,VANTERM,OUTGATE (HC),8.0,1.5,21
HEAD CHECKER,NIGHT,VANTERM,PENTHOUSE (HC),8.0,1.5,7
HEAD CHECKER,NIGHT,VANTERM,RAIL (HC),8.0,1.0,20
HEAD CHECKER,NIGHT,VANTERM,TOWER (HC),8.0,0.5,160
KOMATSU,DAY,NEPTUNE,,7.0,1.0,6
LABOUR,DAY,CANADA PLACE,,7.0,2.0,4
LABOUR,DAY,CANADA PLACE,BLANK,7.0,2.0,782
LABOUR,DAY,CANADA PLACE,COASTWISE (LAB),7.0,2.0,488
LABOUR,DAY,CANADA PLACE,HOLD (LAB),7.0,1.0,9
LABOUR,DAY,CANADA PLACE,SPARE (LAB),7.0,1.0,4
LABOUR,DAY,CENTENNIAL,,9.0,0.0,40
LABOUR,DAY,CENTENNIAL,BLANK,9.0,1.0,267
LABOUR,DAY,CENTENNIAL,HOLD (LAB),4.0,1.0,5
LABOUR,DAY,CENTENNIAL,JANITOR (LAB),8.0,1.0,149
LABOUR,DAY,CENTENNIAL,LASHING (LAB),4.0,1.0,22
LABOUR,DAY,CENTENNIAL,SHEDMEN (LAB),9.0,1.0,409
LABOUR,DAY,CENTENNIAL,SPARE (LAB),8.0,1.0,7
LABOUR,DAY,CENTENNIAL,UTILITY (LAB),8.0,1.0,93
LABOUR,DAY,DELTAPORT,LASHING (LAB),4.0,0.0,3
LABOUR,DAY,FIBRECO,BLANK,8.0,0.5,8
LABOUR,DAY,LYNNTERM,,4.0,0.5,4
LABOUR,DAY,LYNNTERM,BLANK,8.0,1.0,83
LABOUR,DAY,LYNNTERM,SLINGMAN (LAB),4.0,1.0,7
LABOUR,DAY,LYNNTERM,SPARE (LAB),4.0,1.0,9
LABOUR,DAY,NEPTUNE,,7.5,1.0,41
LABOUR,DAY,NEPTUNE,BLANK,8.0,1.0,234
LABOUR,DAY,NEPTUNE,JANITOR (LAB),8.0,1.0,8
LABOUR,DAY,NEPTUNE,SHEDMEN (LAB),7.5,0.5,7
LABOUR,DAY,NEPTUNE,SPARE (LAB),8.0,1.0,21
LABOUR,DAY,NEPTUNE,UTILITY (LAB),8.0,1.0,13
LABOUR,DAY,PORT MOODY,BLANK,8.0,1.0,16
LABOUR,DAY,SQUAMISH,BLANK,8.0,0.5,12
LABOUR,DAY,SQUAMISH,HOLD (LAB),11.0,4.0,3
LABOUR,DAY,SQUAMISH,SPARE (LAB),8.0,0.5,4
LABOUR,DAY,VAN WHARVES,BLANK,8.0,1.0,243
